student_id,user_id,enrollment_year,total_courses_enrolled,courses_completed,courses_abandoned,avg_score_overall,score_trend,total_active_days,days_since_last_activity,avg_weekly_events,avg_session_gap_days,late_submission_rate,label_at_fault,label_dropout,refreshed_at
245,5,2025,5,4,1,65.50,,45,0,3.83,2.59,0.3333,0,0,2026-05-01 12:44:16.788+00
246,6,2023,9,7,2,60.39,,75,156,3.27,2.83,0.0000,1,0,2026-05-01 12:44:16.788+00
247,7,2024,6,3,3,,,47,0,3.85,2.13,,0,1,2026-05-01 12:44:16.788+00
248,8,2025,7,6,1,57.57,,61,0,2.71,3.50,0.0000,1,0,2026-05-01 12:44:16.788+00
249,9,2022,10,10,0,67.73,,96,251,1.98,3.51,,0,0,2026-05-01 12:44:16.788+00
250,10,2026,7,4,3,76.74,-0.0294,2,0,109.00,0.01,0.0000,0,1,2026-05-01 12:44:16.788+00
251,11,2023,8,8,0,68.87,,71,22,1.57,4.23,,0,0,2026-05-01 12:44:16.788+00
252,12,2024,6,5,1,51.17,,48,0,1.93,4.42,0.0000,1,0,2026-05-01 12:44:16.788+00
253,1,2025,6,3,3,66.28,0.0366,47,0,4.74,1.72,0.0000,0,1,2026-05-01 12:44:16.788+00
254,2,2022,10,5,5,46.33,,79,210,4.07,2.15,,1,1,2026-05-01 12:44:16.788+00
255,3,2024,5,3,2,39.70,,45,22,4.08,1.77,,1,1,2026-05-01 12:44:16.788+00
256,4,2026,4,1,3,47.86,0.0396,5,0,25.50,0.18,0.0000,1,1,2026-05-01 12:44:16.788+00
257,5,2024,5,4,1,60.01,,40,205,1.56,4.77,,1,0,2026-05-01 12:44:16.788+00
258,6,2024,7,6,1,61.39,,53,44,1.69,4.46,0.0000,1,0,2026-05-01 12:44:16.788+00
259,7,2025,7,5,2,54.57,,47,0,3.27,3.34,0.0000,1,0,2026-05-01 12:44:16.788+00
260,8,2022,9,4,5,59.00,-0.0285,77,0,5.13,1.55,0.0000,1,1,2026-05-01 12:44:16.788+00
261,9,2026,5,4,1,73.06,-0.0800,2,0,28.00,0.03,0.0000,0,0,2026-05-01 12:44:16.788+00
262,10,2022,9,5,4,55.14,,93,109,4.13,1.76,,1,1,2026-05-01 12:44:16.788+00
263,11,2022,11,8,3,53.91,0.0890,118,47,3.25,2.14,,1,0,2026-05-01 12:44:16.788+00
264,12,2024,9,7,2,70.18,-0.0895,65,0,3.18,2.31,0.0000,0,0,2026-05-01 12:44:16.788+00
265,1,2026,5,4,1,62.72,-0.0204,1,0,105.00,0.00,0.0000,1,0,2026-05-01 12:44:16.788+00
266,2,2025,6,6,0,64.38,,50,0,2.58,3.52,0.0000,1,0,2026-05-01 12:44:16.788+00
267,3,2024,7,4,3,42.56,,66,0,2.67,2.93,,1,1,2026-05-01 12:44:16.788+00
268,4,2022,10,8,2,60.99,0.0338,87,0,4.49,1.84,0.0000,1,0,2026-05-01 12:44:16.788+00
269,5,2023,7,6,1,64.09,,61,44,2.20,4.34,,0,0,2026-05-01 12:44:16.788+00
270,6,2023,7,4,3,57.98,0.0542,40,326,2.79,2.58,,1,1,2026-05-01 12:44:16.788+00
271,7,2022,9,5,4,71.76,,82,0,1.76,3.98,,0,1,2026-05-01 12:44:16.788+00
272,8,2022,10,7,3,61.88,-0.0399,93,0,3.90,1.76,0.0000,1,1,2026-05-01 12:44:16.788+00
273,9,2023,8,5,3,55.10,,58,8,2.53,3.42,,1,1,2026-05-01 12:44:16.788+00
274,10,2024,5,3,2,37.79,,40,0,1.43,4.85,,1,1,2026-05-01 12:44:16.788+00
275,11,2025,5,3,2,60.06,,44,34,3.22,3.05,0.0000,1,1,2026-05-01 12:44:16.788+00
276,12,2026,6,3,3,59.39,0.0476,4,0,44.50,0.09,0.0000,1,1,2026-05-01 12:44:16.788+00
277,1,2022,8,4,4,42.82,,60,25,3.84,1.82,,1,1,2026-05-01 12:44:16.788+00
278,2,2025,8,5,3,69.50,-0.0139,38,0,9.81,0.94,0.0000,0,1,2026-05-01 12:44:16.788+00
279,3,2022,9,9,0,57.46,-0.0272,69,0,4.26,2.07,0.0000,1,0,2026-05-01 12:44:16.788+00
280,4,2024,9,7,2,73.45,-0.0291,79,0,3.56,2.17,0.0000,0,0,2026-05-01 12:44:16.788+00
281,5,2022,10,6,4,55.63,,95,217,2.45,2.86,,1,1,2026-05-01 12:44:16.788+00
282,6,2025,6,4,2,42.60,,44,47,2.48,4.32,0.2857,1,1,2026-05-01 12:44:16.788+00
283,7,2024,7,6,1,51.41,,59,12,3.52,2.42,,1,0,2026-05-01 12:44:16.788+00
284,8,2024,7,5,2,51.69,,57,0,2.88,3.95,,1,0,2026-05-01 12:44:16.788+00
285,9,2026,5,4,1,65.06,0.0509,2,0,62.50,0.02,0.0000,0,0,2026-05-01 12:44:16.788+00
286,10,2023,9,8,1,52.25,,54,0,1.46,5.76,,1,0,2026-05-01 12:44:16.788+00
287,11,2025,8,8,0,60.74,-0.0029,72,0,6.61,1.57,0.0000,1,0,2026-05-01 12:44:16.788+00
288,12,2026,3,3,0,54.24,-0.0821,4,0,24.00,0.24,0.0000,1,0,2026-05-01 12:44:16.788+00
289,1,2024,8,6,2,59.84,0.0451,55,0,3.31,1.71,0.0000,1,0,2026-05-01 12:44:16.788+00
290,2,2026,5,4,1,73.31,-0.0787,1,0,45.00,0.01,0.0000,0,0,2026-05-01 12:44:16.788+00
291,3,2022,9,5,4,46.86,,73,64,1.67,4.39,,1,1,2026-05-01 12:44:16.788+00
292,4,2025,5,3,2,70.00,-0.0776,31,0,4.00,2.14,0.0000,0,1,2026-05-01 12:44:16.788+00
293,5,2024,5,3,2,44.39,,33,0,4.23,1.61,,1,1,2026-05-01 12:44:16.788+00
294,6,2025,6,5,1,58.07,-0.0295,44,0,3.50,3.06,0.0833,1,0,2026-05-01 12:44:16.788+00
295,7,2026,4,4,0,49.08,0.0167,2,0,37.00,0.04,0.0000,1,0,2026-05-01 12:44:16.788+00
296,8,2023,7,5,2,68.59,,57,89,3.22,2.15,,0,0,2026-05-01 12:44:16.788+00
297,9,2025,5,3,2,51.20,,41,0,1.65,4.66,0.0000,1,1,2026-05-01 12:44:16.788+00
298,10,2023,7,5,2,69.52,-0.0757,58,0,4.64,1.56,0.0000,0,0,2026-05-01 12:44:16.788+00
299,11,2026,7,7,0,72.80,0.0181,2,0,234.00,0.02,0.0000,0,0,2026-05-01 12:44:16.788+00
300,12,2024,8,8,0,66.31,,64,0,1.70,4.64,,0,0,2026-05-01 12:44:16.788+00
301,1,2025,7,4,3,62.35,,44,0,2.39,4.74,0.0000,0,1,2026-05-01 12:44:16.788+00
302,2,2025,5,3,2,75.69,,50,0,3.58,2.41,0.0000,0,1,2026-05-01 12:44:16.788+00
303,3,2022,8,7,1,51.76,,78,56,2.09,3.52,0.0000,1,0,2026-05-01 12:44:16.788+00
304,4,2025,6,5,1,47.41,-0.0120,29,0,4.25,2.06,0.0000,1,0,2026-05-01 12:44:16.788+00
305,5,2026,4,4,0,65.24,,1,0,34.00,0.00,0.0000,0,0,2026-05-01 12:44:16.788+00
306,6,2024,8,5,3,68.12,-0.0005,50,0,4.19,1.95,0.0000,1,1,2026-05-01 12:44:16.788+00
307,7,2022,10,9,1,41.48,,93,141,2.60,2.94,,1,0,2026-05-01 12:44:16.788+00
308,8,2026,4,1,3,64.29,0.0960,2,0,51.00,0.03,0.0000,0,1,2026-05-01 12:44:16.788+00
309,9,2024,5,4,1,58.80,0.0179,36,0,2.56,2.53,0.0000,1,0,2026-05-01 12:44:16.788+00
310,10,2026,5,4,1,66.90,-0.0249,3,0,36.00,0.13,0.0000,0,0,2026-05-01 12:44:16.788+00
311,11,2024,9,9,0,46.43,,67,43,2.30,4.01,,1,0,2026-05-01 12:44:16.788+00
312,12,2023,6,5,1,47.02,,54,0,1.64,3.85,,1,0,2026-05-01 12:44:16.788+00
313,1,2026,3,2,1,53.29,0.0307,2,0,70.00,0.02,0.0000,1,1,2026-05-01 12:44:16.788+00
314,2,2026,4,2,2,59.59,-0.0669,1,0,85.00,0.01,0.0000,1,1,2026-05-01 12:44:16.788+00
315,3,2026,6,5,1,56.68,0.0073,4,0,54.00,0.10,0.0000,1,0,2026-05-01 12:44:16.788+00
316,4,2025,6,5,1,55.70,0.0192,39,0,2.70,3.41,0.0000,1,0,2026-05-01 12:44:16.788+00
317,5,2022,9,7,2,41.74,,73,0,3.67,2.18,,1,0,2026-05-01 12:44:16.788+00
318,6,2023,7,5,2,71.25,,51,94,2.97,2.44,0.0000,0,0,2026-05-01 12:44:16.788+00
319,7,2024,5,2,3,61.53,,38,0,2.70,2.80,,1,1,2026-05-01 12:44:16.788+00
320,8,2023,6,4,2,57.04,0.0353,55,70,3.77,1.86,,1,1,2026-05-01 12:44:16.788+00
321,9,2026,6,1,5,53.50,-0.0151,2,0,38.50,0.04,0.0000,1,1,2026-05-01 12:44:16.788+00
322,10,2025,5,3,2,49.21,,42,49,5.00,2.47,,1,1,2026-05-01 12:44:16.788+00
323,11,2026,4,4,0,67.89,0.0109,2,0,92.00,0.03,0.0000,0,0,2026-05-01 12:44:16.788+00
324,12,2025,7,4,3,70.79,-0.0605,57,0,3.00,3.23,0.0000,0,1,2026-05-01 12:44:16.788+00
325,1,2022,7,5,2,53.22,,58,8,2.74,2.55,,1,0,2026-05-01 12:44:16.788+00
326,2,2022,10,7,3,55.05,,87,93,4.29,1.59,,1,1,2026-05-01 12:44:16.788+00
327,3,2026,5,3,2,49.09,0.0416,4,0,35.00,0.12,0.0000,1,1,2026-05-01 12:44:16.788+00
328,4,2025,4,3,1,57.36,0.0678,37,0,3.59,2.30,0.1111,1,0,2026-05-01 12:44:16.788+00
329,5,2025,6,4,2,68.12,-0.0065,37,0,3.13,2.85,0.0000,0,1,2026-05-01 12:44:16.788+00
330,6,2025,5,2,3,55.74,,31,2,2.24,4.56,,1,1,2026-05-01 12:44:16.788+00
331,7,2025,6,6,0,55.01,,42,0,2.18,4.93,0.0000,1,0,2026-05-01 12:44:16.788+00
332,8,2026,4,3,1,56.80,0.0590,3,0,64.00,0.03,0.0000,1,0,2026-05-01 12:44:16.788+00
333,9,2026,4,0,4,54.77,,3,0,35.00,0.04,,1,1,2026-05-01 12:44:16.788+00
334,10,2025,5,3,2,47.00,-0.0019,29,0,4.50,2.02,0.0000,1,1,2026-05-01 12:44:16.788+00
335,11,2025,4,3,1,57.29,-0.0061,27,0,4.00,1.67,0.0000,1,0,2026-05-01 12:44:16.788+00
336,12,2025,3,1,2,39.08,,30,0,3.86,1.61,,1,1,2026-05-01 12:44:16.788+00
337,1,2025,8,6,2,70.20,-0.0039,45,0,9.95,1.14,0.0000,0,0,2026-05-01 12:44:16.788+00
338,2,2024,6,2,4,54.16,,51,6,2.24,2.93,0.0000,1,1,2026-05-01 12:44:16.788+00
339,3,2024,8,8,0,61.47,0.0465,66,0,3.30,2.64,0.0000,1,0,2026-05-01 12:44:16.788+00
340,4,2026,5,3,2,68.86,0.0214,2,0,23.50,0.11,0.0000,0,1,2026-05-01 12:44:16.788+00
341,5,2024,7,6,1,65.61,,49,0,1.78,4.54,,0,0,2026-05-01 12:44:16.788+00
342,6,2026,6,5,1,58.59,-0.0033,3,0,57.00,0.05,0.0000,1,0,2026-05-01 12:44:16.788+00
343,7,2026,6,5,1,56.21,-0.1104,1,0,63.00,0.00,0.0000,1,0,2026-05-01 12:44:16.788+00
344,8,2023,7,5,2,55.40,,70,0,2.08,3.54,,1,0,2026-05-01 12:44:16.788+00
345,9,2026,3,3,0,60.08,0.0138,2,0,36.50,0.03,0.0000,1,0,2026-05-01 12:44:16.788+00
346,10,2025,5,4,1,41.23,,35,15,2.30,3.93,,1,0,2026-05-01 12:44:16.788+00
347,11,2023,5,5,0,50.74,,48,67,2.21,3.74,0.0000,1,0,2026-05-01 12:44:16.788+00
348,12,2025,4,4,0,71.33,0.0365,34,0,6.35,1.17,0.0000,0,0,2026-05-01 12:44:16.788+00
349,1,2022,8,8,0,70.17,,68,76,1.76,4.19,,0,0,2026-05-01 12:44:16.788+00
350,2,2022,9,7,2,58.69,-0.0295,85,0,2.85,2.49,0.0000,1,0,2026-05-01 12:44:16.788+00
351,3,2024,8,4,4,58.26,-0.0723,56,0,4.42,2.46,0.0000,1,1,2026-05-01 12:44:16.788+00
352,4,2025,6,1,5,41.88,,38,0,1.88,4.10,0.0000,1,1,2026-05-01 12:44:16.788+00
353,5,2024,7,4,3,53.89,,62,106,3.31,2.63,0.0000,1,1,2026-05-01 12:44:16.788+00
354,6,2022,9,8,1,69.65,-0.0143,68,0,2.51,3.08,0.0000,0,0,2026-05-01 12:44:16.788+00
355,7,2025,4,3,1,38.95,,31,3,2.00,4.93,,1,0,2026-05-01 12:44:16.788+00
356,8,2024,7,4,3,48.64,,50,7,2.26,3.08,0.2000,1,1,2026-05-01 12:44:16.788+00
357,9,2025,6,4,2,60.47,,44,0,1.96,4.05,0.2000,1,1,2026-05-01 12:44:16.788+00
358,10,2023,8,6,2,47.16,0.1269,78,8,3.00,2.16,,1,0,2026-05-01 12:44:16.788+00
359,11,2022,7,4,3,46.54,,50,0,2.83,2.89,,1,1,2026-05-01 12:44:16.788+00
360,12,2023,5,4,1,47.13,,32,38,2.95,2.63,,1,0,2026-05-01 12:44:16.788+00
361,1,2024,8,7,1,75.68,-0.0274,73,0,3.89,1.99,0.0000,0,0,2026-05-01 12:44:16.788+00
362,2,2022,10,8,2,45.06,0.0487,91,112,4.39,1.46,,1,0,2026-05-01 12:44:16.788+00
363,3,2026,3,2,1,61.83,-0.0346,3,0,25.00,0.12,0.0000,1,1,2026-05-01 12:44:16.788+00
364,4,2025,5,3,2,54.65,0.0221,15,0,7.73,0.98,0.0000,1,1,2026-05-01 12:44:16.788+00
365,5,2025,7,5,2,52.31,,46,0,3.48,2.07,0.0000,1,0,2026-05-01 12:44:16.788+00
366,6,2025,6,6,0,61.77,-0.0086,31,0,4.36,1.76,0.0000,1,0,2026-05-01 12:44:16.788+00
367,7,2023,8,6,2,60.68,,61,323,3.06,3.01,,1,0,2026-05-01 12:44:16.788+00
368,8,2023,10,9,1,72.20,0.0021,97,0,3.60,2.02,0.0000,0,0,2026-05-01 12:44:16.788+00
369,9,2022,8,7,1,54.51,,77,0,1.91,3.84,,1,0,2026-05-01 12:44:16.788+00
370,10,2024,5,3,2,44.19,,42,0,1.59,4.44,,1,1,2026-05-01 12:44:16.788+00
371,11,2025,4,2,2,47.49,,31,0,2.76,3.16,0.0000,1,1,2026-05-01 12:44:16.788+00
372,12,2024,7,3,4,59.04,,45,0,5.58,1.24,,1,1,2026-05-01 12:44:16.788+00
373,1,2024,8,6,2,78.23,-0.0226,59,0,4.39,1.57,0.0000,0,0,2026-05-01 12:44:16.788+00
374,2,2024,6,1,5,52.80,,41,55,5.35,1.49,,1,1,2026-05-01 12:44:16.788+00
375,3,2025,5,3,2,61.13,,34,0,3.47,2.39,0.0000,1,1,2026-05-01 12:44:16.788+00
376,4,2024,6,5,1,60.23,-0.0119,66,0,4.12,1.61,0.0000,1,0,2026-05-01 12:44:16.788+00
377,5,2023,8,5,3,46.25,,55,0,2.94,2.78,,1,1,2026-05-01 12:44:16.788+00
378,6,2025,5,4,1,59.83,,44,0,2.54,2.94,0.0000,1,0,2026-05-01 12:44:16.788+00
379,7,2022,9,7,2,62.02,,73,144,2.74,3.26,,0,0,2026-05-01 12:44:16.788+00
380,8,2022,11,10,1,59.60,-0.0277,100,0,4.88,1.33,0.0000,1,0,2026-05-01 12:44:16.788+00
381,9,2024,6,3,3,65.65,,50,159,1.93,4.18,,0,1,2026-05-01 12:44:16.788+00
382,10,2025,5,5,0,67.62,,53,10,2.19,3.33,0.1429,0,0,2026-05-01 12:44:16.788+00
383,11,2023,8,5,3,52.08,,68,85,4.06,2.00,,1,1,2026-05-01 12:44:16.788+00
384,12,2022,10,8,2,55.08,,73,0,2.44,2.75,,1,0,2026-05-01 12:44:16.788+00
385,1,2025,6,5,1,58.72,,48,0,2.46,3.82,0.0000,1,0,2026-05-01 12:44:16.788+00
386,2,2024,8,8,0,77.70,,83,39,2.07,3.56,,0,0,2026-05-01 12:44:16.788+00
387,3,2023,8,3,5,70.60,,51,11,5.73,1.41,,0,1,2026-05-01 12:44:16.788+00
388,4,2026,6,4,2,49.06,-0.0243,3,0,50.00,0.04,0.0000,1,1,2026-05-01 12:44:16.788+00
389,5,2025,4,4,0,50.49,-0.0324,25,0,3.50,2.30,0.0000,1,0,2026-05-01 12:44:16.788+00
390,6,2023,7,5,2,41.95,,45,88,3.00,2.89,0.0000,1,0,2026-05-01 12:44:16.788+00
391,7,2023,7,3,4,46.41,,67,288,4.22,1.62,,1,1,2026-05-01 12:44:16.788+00
392,8,2023,7,7,0,66.02,,68,148,1.92,3.81,,0,0,2026-05-01 12:44:16.788+00
393,9,2026,4,4,0,63.66,-0.0103,2,0,28.00,0.07,0.0000,0,0,2026-05-01 12:44:16.788+00
394,10,2023,8,6,2,48.60,,76,35,3.22,2.52,,1,0,2026-05-01 12:44:16.788+00
395,11,2025,4,4,0,57.90,,35,15,2.11,4.16,0.2000,1,0,2026-05-01 12:44:16.788+00
396,12,2025,6,5,1,52.84,-0.0349,41,0,3.87,2.28,0.0000,1,0,2026-05-01 12:44:16.788+00
397,1,2024,7,5,2,55.33,,62,144,2.81,2.79,,1,0,2026-05-01 12:44:16.788+00
398,2,2025,5,2,3,56.69,,43,0,3.10,2.39,0.0000,1,1,2026-05-01 12:44:16.788+00
399,3,2024,9,4,5,48.68,0.0197,67,0,4.82,1.70,0.0000,1,1,2026-05-01 12:44:16.788+00
400,4,2023,8,7,1,43.07,,60,101,1.86,4.70,,1,0,2026-05-01 12:44:16.788+00
401,5,2023,9,8,1,40.13,,65,168,1.56,5.34,,1,0,2026-05-01 12:44:16.788+00
402,6,2025,7,2,5,64.25,-0.0078,55,0,2.86,2.70,0.0000,0,1,2026-05-01 12:44:16.788+00
403,7,2022,8,7,1,50.85,,58,63,2.33,3.17,,1,0,2026-05-01 12:44:16.788+00
404,8,2025,7,5,2,54.82,,70,0,3.79,2.23,0.3333,1,0,2026-05-01 12:44:16.788+00
405,9,2025,5,5,0,53.84,,41,0,1.72,4.34,0.0000,1,0,2026-05-01 12:44:16.788+00
406,10,2023,9,6,3,44.87,,75,0,2.04,3.81,0.0000,1,1,2026-05-01 12:44:16.788+00
407,11,2024,7,5,2,65.89,0.0584,51,0,7.05,1.34,0.0000,0,0,2026-05-01 12:44:16.788+00
408,12,2026,3,2,1,59.53,-0.0161,2,0,47.00,0.02,0.0000,1,1,2026-05-01 12:44:16.788+00
409,1,2024,8,5,3,50.40,,72,50,3.03,3.02,0.0000,1,1,2026-05-01 12:44:16.788+00
410,2,2023,9,7,2,55.69,,66,0,2.33,3.23,,1,0,2026-05-01 12:44:16.788+00
411,3,2024,6,4,2,61.40,,49,122,3.64,2.18,0.0000,1,1,2026-05-01 12:44:16.788+00
412,4,2026,6,5,1,67.33,0.0377,2,0,68.00,0.03,0.0000,0,0,2026-05-01 12:44:16.788+00
413,5,2026,5,3,2,67.73,-0.0237,4,0,49.00,0.10,0.0000,0,1,2026-05-01 12:44:16.788+00
414,6,2024,7,6,1,58.25,,60,11,2.00,3.93,,1,0,2026-05-01 12:44:16.788+00
415,7,2023,9,7,2,46.67,0.0540,55,0,2.89,2.64,0.0000,1,0,2026-05-01 12:44:16.788+00
416,8,2026,4,3,1,68.43,-0.0073,2,0,52.00,0.01,0.0000,0,0,2026-05-01 12:44:16.788+00
417,9,2022,10,7,3,48.88,,73,0,4.28,1.77,,1,1,2026-05-01 12:44:16.788+00
418,10,2026,6,4,2,54.20,0.0667,1,0,74.00,0.00,0.0000,1,1,2026-05-01 12:44:16.788+00
419,11,2024,7,6,1,67.09,-0.0209,48,0,2.93,2.91,0.0000,0,0,2026-05-01 12:44:16.788+00
420,12,2022,9,8,1,52.23,,80,285,2.00,3.65,,1,0,2026-05-01 12:44:16.788+00
421,1,2022,10,6,4,62.69,,79,7,4.30,1.65,,0,1,2026-05-01 12:44:16.788+00
422,2,2022,9,7,2,56.53,,84,0,1.84,3.91,,1,0,2026-05-01 12:44:16.788+00
423,3,2022,8,6,2,35.66,,59,0,2.81,2.36,,1,0,2026-05-01 12:44:16.788+00
424,4,2024,8,5,3,71.82,,72,0,3.75,2.55,0.0000,0,1,2026-05-01 12:44:16.788+00
425,5,2026,4,3,1,56.59,-0.0807,4,0,39.50,0.07,0.0000,1,0,2026-05-01 12:44:16.788+00
426,6,2023,7,6,1,53.76,,61,0,2.43,2.94,,1,0,2026-05-01 12:44:16.788+00
427,7,2025,5,3,2,64.35,0.0144,34,0,4.17,2.04,0.0000,0,1,2026-05-01 12:44:16.788+00
428,8,2025,7,7,0,57.55,0.0029,58,0,3.04,2.95,0.0833,1,0,2026-05-01 12:44:16.788+00
429,9,2025,6,5,1,44.39,0.0282,46,0,4.05,2.36,0.0000,1,0,2026-05-01 12:44:16.788+00
430,10,2024,8,7,1,49.63,,74,0,1.88,3.86,,1,0,2026-05-01 12:44:16.788+00
431,11,2023,7,5,2,37.62,0.0073,58,34,3.00,2.40,,1,0,2026-05-01 12:44:16.788+00
432,12,2026,4,4,0,72.45,0.0314,1,0,52.00,0.00,0.0000,0,0,2026-05-01 12:44:16.788+00
433,1,2025,6,6,0,69.11,,47,0,2.35,4.36,0.2000,0,0,2026-05-01 12:44:16.788+00
434,2,2024,8,6,2,64.50,0.0508,47,0,2.47,3.58,0.0000,0,0,2026-05-01 12:44:16.788+00
435,3,2024,7,6,1,67.18,0.0341,62,0,3.43,2.85,,0,0,2026-05-01 12:44:16.788+00
436,4,2025,6,4,2,64.72,0.0388,41,0,3.35,3.81,0.0000,0,1,2026-05-01 12:44:16.788+00
437,5,2025,6,2,4,57.96,,39,0,3.74,2.35,0.0000,1,1,2026-05-01 12:44:16.788+00
438,6,2026,3,3,0,69.80,-0.0711,3,0,17.00,0.16,0.0000,0,0,2026-05-01 12:44:16.788+00
439,7,2025,5,4,1,64.65,-0.0122,30,0,2.83,2.99,0.0714,0,0,2026-05-01 12:44:16.788+00
440,8,2023,7,3,4,47.38,,65,97,3.00,2.27,,1,1,2026-05-01 12:44:16.788+00
441,9,2025,6,4,2,60.48,-0.0027,47,0,4.57,2.26,0.0000,1,1,2026-05-01 12:44:16.788+00
442,10,2024,7,6,1,65.09,,66,0,1.92,3.90,0.0000,0,0,2026-05-01 12:44:16.788+00
443,11,2026,3,2,1,53.15,,1,0,24.00,0.00,0.0000,1,1,2026-05-01 12:44:16.788+00
444,12,2022,7,5,2,44.71,,61,419,2.33,2.81,,1,0,2026-05-01 12:44:16.788+00
445,1,2023,8,5,3,55.39,,77,38,3.26,2.07,0.0000,1,1,2026-05-01 12:44:16.788+00
446,2,2026,5,4,1,59.61,-0.0367,4,0,23.50,0.20,0.0000,1,0,2026-05-01 12:44:16.788+00
447,3,2025,8,6,2,62.49,0.0319,62,0,3.71,2.29,0.0000,0,0,2026-05-01 12:44:16.788+00
448,4,2026,6,3,3,59.68,-0.0202,4,0,71.00,0.06,0.0000,1,1,2026-05-01 12:44:16.788+00
449,5,2023,9,8,1,56.15,-0.0138,67,0,3.64,1.83,0.0000,1,0,2026-05-01 12:44:16.788+00
450,6,2022,9,7,2,62.29,,70,31,2.81,2.35,,0,0,2026-05-01 12:44:16.788+00
451,7,2023,6,4,2,61.34,,44,0,2.00,3.35,,1,1,2026-05-01 12:44:16.788+00
452,8,2023,7,4,3,38.37,,48,0,1.44,5.76,,1,1,2026-05-01 12:44:16.788+00
453,9,2024,4,4,0,45.27,,34,0,1.85,4.01,,1,0,2026-05-01 12:44:16.788+00
454,10,2026,6,5,1,78.64,0.0491,3,0,53.00,0.05,0.0000,0,0,2026-05-01 12:44:16.788+00
455,11,2026,4,4,0,72.19,-0.0395,5,0,21.00,0.27,0.0000,0,0,2026-05-01 12:44:16.788+00
456,12,2024,7,2,5,36.83,,58,53,1.88,4.17,,1,1,2026-05-01 12:44:16.788+00
457,1,2022,10,9,1,65.95,,83,399,2.52,3.14,,0,0,2026-05-01 12:44:16.788+00
458,2,2023,6,3,3,59.16,-0.0675,33,0,5.58,1.21,0.0000,1,1,2026-05-01 12:44:16.788+00
459,3,2025,7,5,2,73.96,0.1123,58,0,3.07,2.57,0.0526,0,0,2026-05-01 12:44:16.788+00
460,4,2024,9,6,3,56.62,,79,6,3.41,2.67,,1,1,2026-05-01 12:44:16.788+00
461,5,2023,8,8,0,49.93,,72,0,1.81,4.30,,1,0,2026-05-01 12:44:16.788+00
462,6,2026,4,3,1,49.32,0.0273,2,0,27.00,0.07,0.0000,1,0,2026-05-01 12:44:16.788+00
463,7,2022,9,7,2,57.63,,66,157,1.70,4.07,,1,0,2026-05-01 12:44:16.788+00
464,8,2022,10,10,0,72.30,,107,41,1.85,3.66,,0,0,2026-05-01 12:44:16.788+00
465,9,2024,6,5,1,53.97,0.0373,40,0,3.04,2.91,0.0000,1,0,2026-05-01 12:44:16.788+00
466,10,2024,8,6,2,53.36,,59,82,2.06,4.66,0.0000,1,0,2026-05-01 12:44:16.788+00
467,11,2022,9,8,1,75.87,,86,52,1.70,4.00,,0,0,2026-05-01 12:44:16.788+00
468,12,2022,9,7,2,50.86,,93,319,3.28,2.25,,1,0,2026-05-01 12:44:16.788+00
469,1,2024,7,4,3,50.39,,50,0,3.74,2.29,,1,1,2026-05-01 12:44:16.788+00
470,2,2023,7,6,1,64.48,,63,0,2.36,3.54,,0,0,2026-05-01 12:44:16.788+00
471,3,2022,9,7,2,47.41,,71,301,1.66,4.43,,1,0,2026-05-01 12:44:16.788+00
472,4,2026,6,4,2,72.37,0.0076,1,0,103.00,0.00,0.0000,0,1,2026-05-01 12:44:16.788+00
473,5,2025,5,5,0,66.32,0.0709,43,0,2.58,2.89,0.1111,0,0,2026-05-01 12:44:16.788+00
474,6,2025,5,5,0,50.83,-0.0169,36,0,3.37,2.91,0.0000,1,0,2026-05-01 12:44:16.788+00
475,7,2024,7,5,2,48.74,,51,27,1.59,4.74,,1,0,2026-05-01 12:44:16.788+00
476,8,2026,5,3,2,60.32,0.0306,1,0,105.00,0.00,0.0000,1,1,2026-05-01 12:44:16.788+00
477,9,2022,10,8,2,59.93,,87,0,2.19,2.95,,1,0,2026-05-01 12:44:16.788+00
478,10,2025,7,5,2,49.88,,61,17,3.08,3.28,0.0000,1,0,2026-05-01 12:44:16.788+00
479,11,2023,7,5,2,47.47,,63,0,1.65,4.13,,1,0,2026-05-01 12:44:16.788+00
480,12,2024,6,5,1,50.48,0.0149,58,0,2.66,2.64,0.0000,1,0,2026-05-01 12:44:16.788+00
481,1,2025,6,4,2,64.42,-0.0228,35,0,4.48,1.66,0.0000,0,1,2026-05-01 12:44:16.788+00
482,2,2026,3,1,2,53.76,,1,0,25.00,0.00,0.0000,1,1,2026-05-01 12:44:16.788+00
483,3,2025,7,6,1,50.44,-0.0006,51,0,4.86,2.11,0.0000,1,0,2026-05-01 12:44:16.788+00
484,4,2025,3,3,0,50.57,0.0210,27,0,3.88,1.68,0.0000,1,0,2026-05-01 12:44:16.788+00
485,5,2026,6,3,3,63.24,0.0257,2,0,37.00,0.03,0.0000,0,1,2026-05-01 12:44:16.788+00
486,6,2023,6,5,1,46.87,,57,86,2.14,3.67,,1,0,2026-05-01 12:44:16.788+00
487,7,2026,4,4,0,54.04,-0.0266,2,0,99.00,0.01,0.0000,1,0,2026-05-01 12:44:16.788+00
488,8,2025,6,5,1,52.16,-0.0496,52,0,3.26,2.32,0.0000,1,0,2026-05-01 12:44:16.788+00
489,9,2025,7,5,2,68.69,-0.0471,39,0,5.78,2.29,0.0000,0,0,2026-05-01 12:44:16.788+00
